Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Alabama

Year,Population,Violent crime total
1986,16682000,109925
1987,16789000,105961
1988,16780000,109499
1989,16991000,111889
1990,16986510,129343
1991,17349000,145743
1992,17656000,142369
1993,18031000,137419
1994,18378000,129838
1995,18724000,124303
1996,19128000,123270
1997,19439000,117126
1998,19760000,111566
1999,20044141,112306
2000,20851820,113653
2001,21370983,122155
2002,21736925,126018
2003,22103374,122246
2004,22471549,121554
2005,22928508,121091
2006,23507783,121602
2007,23904380,122014
2008,24326974,123585
2009,24782302,121684
2010,25253466,113231
2011,25631778,104734
2012,26060796,106475
2013,26505637,108757
2014,26956958,109414

Estimated crime in Utah

Year,Population,Violent crime total
1985,1645000,4398
1986,1665000,4441
1987,1680000,3861
1988,1691000,4110
1989,1707000,4417
1990,1722850,4892
1991,1770000,5077
1992,1813000,5267
1993,1860000,5599
1994,1908000,5810
1995,1951000,6415
1996,2000000,6638
1997,2059000,6878
1998,2100000,6599
1999,2129836,5869
2000,2233169,5711
2001,2278712,5314
2002,2318789,5488
2003,2352119,5889
2004,2420708,5647
2005,2490334,5612
2006,2550063,5771
2007,2645330,6347
2008,2736424,6165
2009,2784572,5998
2010,2775479,5925
2011,2814347,5547
2012,2854871,5939
2013,2902787,6644
2014,2942902,6346

Estimated crime in Vermont

Year,Population,Violent crime total
1985,535000,790
1986,541000,807
1987,548000,748
1988,556000,791
1989,567000,753
1990,562758,716
1991,567000,662
1992,570000,624
1993,576000,658
1994,580000,562
1995,585000,692
1996,589000,714
1997,589000,705
1998,591000,628
1999,593740,676
2000,608827,691
2001,612978,644
2002,616408,658
2003,619343,707
2004,621233,713
2005,622387,782
2006,623908,905
2007,621254,802
2008,621270,854
2009,621760,837
2010,625909,820
2011,626592,925
2012,625953,891
2013,626855,775
2014,626562,622

Estimated crime in Virginia

Year,Population,Violent crime total
1985,5706000,16813
1986,5787000,17708
1987,5904000,17414
1988,5996000,17940
1989,6098000,19057
1990,6187358,21694
1991,6286000,23459
1992,6377000,23907
1993,6491000,24160
1994,6552000,23437
1995,6618000,23921
1996,6675000,22782
1997,6734000,23249
1998,6791000,22115
1999,6872912,21626
2000,7078515,19943
2001,7196750,20939
2002,7287829,21256
2003,7365284,20490
2004,7481332,20608
2005,7564327,21434
2006,7642884,21683
2007,7712091,21035
2008,7769089,20031
2009,7882590,18195
2010,8023953,17184
2011,8104384,16014
2012,8186628,15676
2013,8270345,16355
2014,8326289,16340

Estimated crime in Washington

Year,Population,Violent crime total
1985,4409000,18757
1986,4463000,19505
1987,4538000,19945
1988,4619000,21543
1989,4761000,22460
1990,4866692,24410
1991,5018000,26224
1992,5136000,27454
1993,5255000,27040
1994,5343000,27317
1995,5431000,26300
1996,5533000,23857
1997,5610000,24724
1998,5689000,24380
1999,5756361,21716
2000,5894121,21788
2001,5993390,21258
2002,6067060,20964
2003,6131298,21272
2004,6207046,21330
2005,6291899,21745
2006,6395798,22303
2007,6468424,21768
2008,6549224,21888
2009,6664195,22412
2010,6742950,21138
2011,6823267,20152
2012,6895318,20553
2013,6973742,20223
2014,7061530,20136

Estimated crime in West Virginia

Year,Population,Violent crime total
1985,1936000,3214
1986,1919000,3156
1987,1897000,2605
1988,1884000,2476
1989,1857000,2724
1990,1793477,3036
1991,1801000,3440
1992,1812000,3833
1993,1820000,3793
1994,1822000,3931
1995,1828000,3842
1996,1826000,3836
1997,1816000,3971
1998,1811000,4503
1999,1806928,6336
2000,1808344,5723
2001,1800975,5035
2002,1804884,4221
2003,1811440,4627
2004,1812548,5110
2005,1814083,4968
2006,1818470,5113
2007,1812035,5016
2008,1814468,5006
2009,1819777,5554
2010,1854368,5586
2011,1854908,5497
2012,1856680,5943
2013,1853595,5657
2014,1850326,5588

Estimated crime in Wisconsin

Year,Population,Violent crime total
1985,4775000,9880
1986,4785000,12339
1987,4807000,12014
1988,4858000,10414
1989,4867000,10834
1990,4891769,12948
1991,4955000,13723
1992,5007000,13806
1993,5038000,13321
1994,5082000,13748
1995,5123000,14399
1996,5160000,13039
1997,5170000,13988
1998,5224000,13009
1999,5250446,12908
2000,5363675,12700
2001,5405947,12486
2002,5439692,12238
2003,5474290,12104
2004,5503533,11548
2005,5527644,13367
2006,5556506,15899
2007,5601640,16330
2008,5627967,15507
2009,5654774,14650
2010,5691659,14167
2011,5709843,14268
2012,5724554,16254
2013,5742953,16118
2014,5757564,16714

Estimated crime in Wyoming

Year,Population,Violent crime total
1985,509000,1307
1986,507000,1486
1987,490000,1387
1988,471000,1479
1989,475000,1227
1990,453588,1367
1991,460000,1427
1992,466000,1489
1993,470000,1345
1994,476000,1297
1995,480000,1220
1996,481000,1201
1997,480000,1225
1998,481000,1191
1999,479602,1115
2000,493782,1316
2001,493754,1272
2002,498830,1364
2003,502111,1314
2004,505887,1163
2005,508798,1172
2006,515004,1307
2007,522830,1344
2008,532668,1330
2009,544270,1196
2010,564554,1117
2011,567356,1245
2012,576626,1161
2013,583223,1212
2014,584153,1142

Estimated crime in United States-Total

Year,Population,Violent crime total
1985,237923795,1327767
1986,240132887,1489169
1987,242288918,1483999
1988,244498982,1566221
1989,246819230,1646037
1990,249464396,1820127
1991,252153092,1911767
1992,255029699,1932274
1993,257782608,1926017
1994,260327021,1857670
1995,262803276,1798792
1996,265228572,1688540
1997,267783607,1636096
1998,270248003,1533887
1999,272690813,1426044
2000,281421906,1425486
2001,285317559,1439480
2002,287973924,1423677
2003,290788976,1383676
2004,293656842,1360088
2005,296507061,1390745
2006,299398484,1435123
2007,301621157,1422970
2008,304059724,1394461
2009,307006550,1325896
2010,309330219,1251248
2011,311587816,1206031
2012,313873685,1217067
2013,316497531,1199684
2014,318857056,1197987


"		"
"		","1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as ""Forcible"" rape.  See UCR Offense Definitions for further information.",
"		"
"		",2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.,
"		"
"		"
"		",Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.
 
 
,,United States-Total - 
 
,,The 168 murder and nonnegligent homicides that occurred as a result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City in 1995 are included in the national estimate. 
,,"The 2
 
,,Alabama - 
 
,,"2011 - because of changes in the state's reporting practices
 
,,Delaware - 
 
,,"Since complete 1995 data were not available from Delaware
,,The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide.  
 
,,"District of Columbia - 
"
 
,,"1999-2008 District of Columbia data include reports from the Zoological Police
 "
,,"2002-2008 data include reports from the Metro Transit Police
 "
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police.
  "
 
,,Florida - 
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies.  
 
,,Illinois - 
 
,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100
,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies
,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group
,,"For 1996-current
 
,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions
  
 
,,Kansas - 
 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group
,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.   
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas
 
,,Kentucky - 
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total.  
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total.  
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky
,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky
,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count
,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate
  "
 
,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received
  
 
,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100
  
 
,,Minnesota - 
 
,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently
 
,,Montana - 
 
,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions
,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division. 
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total.  
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total.  
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana
 "
,,"2011 - because of changes in the state's reporting practices
  "
 
,,New Hampshire - 
 
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.   
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. 
,,The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division.  
 
,,New York - 
 
,,"2012 - because of changes in the state/local agency's reporting practices
 
,,"Oklahoma - For 1995
  
 
,,"Pennsylvania - Since complete 1995 data were not available from Pennsylvania
  
 
,,Vermont - The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total.
  
 
,,Wisconsin - The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received.
 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data "
Date of download: Nov 12 2018 ,,
